"_G3","_G2","_G1","_SID","_SREF","_GEO","State","County","Payam","School","Type","P1F","P1M","P2F","P2M","P3F","P3M","P4F","P4M","P5F","P5M","P6F","P6M","P7F","P7M","P8F","P8M","PFO","PMO","PTF","PTM","TOTP","S1F","S1M","S2F","S2M","S3F","S3M","S4F","S4M","SFO","SMO","STF","STM","TOTS","OTHRF","OTHRM","TOTO","AES_TF","AES_TM","TOT_AES","ALP_TF","ALP_TM","TOT_ALP","ECD_TF","ECD_TM","TOT_ECD","NUR_TF","NUR_TM","TOT_NUR","PRE_TF","PRE_TM","TOT_PRE","TTI_TF","TTI_TM","TOT_TTI","TVET_TF","TVET_TM","TOT_TVET","UNI_TF","UNI_TM","TOT_UNI","TOTAL"
"Southern Liech","Panyijar County","Khol","8926","KEN","28","LIS","Panyijar County","Khol","Kol Community Centre Primary School [KEN]","Primary","109","137","65","65","63","93","52","104","46","84","47","86","56","93","30","40","0","0","468","702","1170","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1170"
"Southern Liech","Panyijar County","Khol","5184","MBC","28","LIS","Panyijar County","Khol","Mabil Primary School [MBC]","Primary","56","74","60","148","34","70","94","88","37","41","13","13","50","28","0","0","0","0","344","462","806","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","806"
"Southern Liech","Panyijar County","Khol","7460","PHP","28","LIS","Panyijar County","Khol","Majak Primary School [PHP]","Primary","120","150","60","96","15","37","37","41","28","35","36","42","45","40","31","31","0","0","372","472","844","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","844"
"Southern Liech","Panyijar County","Khol","7428","JAR","28","LIS","Panyijar County","Khol","Pajarial Primary School [JAR]","Primary","73","213","43","61","32","72","25","53","4","22","66","90","58","46","109","87","0","0","410","644","1054","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1054"
"Southern Liech","Panyijar County","Khol","8711","PHN","28","LIS","Panyijar County","Khol","Panhial Nursery School [PHN]","PRE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Southern Liech","Panyijar County","Khol","10463","TPA","28","LIS","Panyijar County","Khol","Panyijiar Secondary [TPA]","Secondary","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24","28","59","71","41","63","0","0","0","0","124","162","286","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","286"
"Southern Liech","Panyijar County","Khol","11185","PFD","28","LIS","Panyijar County","Khol","Pathiel Adult Learning Programme [PFD]","ALP","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Southern Liech","Panyijar County","Khol","11180","PKY","28","LIS","Panyijar County","Khol","Pathiel Pre-School [PKY]","PRE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","231","323","554","0","0","0","0","0","0","0","0","0","0","0","0","231","323","554","0","0","0","0","0","0","0","0","0","554"
"Southern Liech","Panyijar County","Khol","5185","PTG","28","LIS","Panyijar County","Khol","Pathiel Primary School [PTG]","Primary","25","27","145","141","99","239","68","114","76","106","80","76","54","76","93","11","0","0","640","790","1430","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1430"
"Southern Liech","Panyijar County","Khol","11205","PYN","28","LIS","Panyijar County","Khol","payinjiar Adult ALP Centre [PYN]","ALP","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","177","145","322","0","0","0","177","145","322","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","322"
"Southern Liech","Panyijar County","Mayom","11192","QZZ","28","LIS","Panyijar County","Mayom","Maluak Pre-School [QZZ]","PRE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Southern Liech","Panyijar County","Mayom","11236","IXE","28","LIS","Panyijar County","Mayom","Mayom Mixed Primary School [IXE]","Primary","46","84","21","57","39","68","41","63","30","48","47","57","0","0","0","0","0","0","224","377","601","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","601"
"Southern Liech","Panyijar County","Nyal","5166","BJI","28","LIS","Panyijar County","Nyal","Borjani Primary School [BJI]","Primary","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Southern Liech","Panyijar County","Nyal","11189","DUH","28","LIS","Panyijar County","Nyal","Duong Adult Learning Programme [DUH]","ALP","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","102","179","281","0","0","0","102","179","281","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","281"
"Southern Liech","Panyijar County","Nyal","5167","DOG","28","LIS","Panyijar County","Nyal","Duong Primary School [DOG]","Primary","175","293","46","105","61","176","59","128","67","182","71","111","98","136","0","0","0","0","577","1131","1708","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1708"
"Southern Liech","Panyijar County","Nyal","8713","GEK","28","LIS","Panyijar County","Nyal","Garbek Primary School [GEK]","Primary","25","27","22","30","17","35","20","32","14","38","36","47","71","85","63","67","0","0","268","361","629","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","629"
"Southern Liech","Panyijar County","Nyal","5161","JNB","28","LIS","Panyijar County","Nyal","Janglow Primary School [JNB]","Primary","33","71","74","108","57","99","61","69","136","150","143","143","78","104","54","50","0","0","636","794","1430","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1430"
"Southern Liech","Panyijar County","Nyal","11195","KKZ","28","LIS","Panyijar County","Nyal","Kanynhial Adult Learning Programme [KKZ]","ALP","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Southern Liech","Panyijar County","Nyal","5160","KNI","28","LIS","Panyijar County","Nyal","Kanynhial Primary School [KNI]","Primary","143","247","122","202","70","60","39","39","61","43","80","180","106","102","0","0","0","0","621","873","1494","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1494"
"Southern Liech","Panyijar County","Nyal","11190","TET","28","LIS","Panyijar County","Nyal","Katieth Pre- school [TET]","PRE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Southern Liech","Panyijar County","Nyal","8714","ERY","28","LIS","Panyijar County","Nyal","Kueryieka Nursery school [ERY]","PRE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","122","138","260","0","0","0","0","0","0","0","0","0","0","0","0","122","138","260","0","0","0","0","0","0","0","0","0","260"
