Admin1,Admin1_Pcode,Admin2,Admin2_Alternate_Name,Admin2_Pcode,Population - 2025," % Male children
 under 5 "," No. of Male
children under 5 "," % Female
children under 5 "," No. of Female
children under 5 "," % Male children 
aged 5 - 17 years "," No. of Male children 
aged 5 - 17 years "," % Female children 
aged 5 - 17 years "," No. of Female 
children aged 5 - 17 years "," % Male adults 
aged 18 - 60 "," No. of  Male 
adults aged 18 - 60 "," % Female adults 
aged 18 - 60 "," No. of Female 
adults aged 18 - 60 "," % Male adults 
aged over 60 "," No. of Male adults 
aged over 60 "," % Female adults 
aged over 60 "," No. Female adults 
aged over 60 "
Jonglei,SS04,Uror,,SS0311," 205,594 ",14%," 29,523 ",13%," 26,522 ",14%," 29,606 ",18%," 36,596 ",18%," 37,624 ",19%," 39,680 ",1%," 2,590 ",2%," 3,454 "
Lakes,SS04,Awerial,,SS0401," 144,223 ",6%," 9,144 ",6%," 8,798 ",23%," 32,739 ",23%," 33,748 ",18%," 25,585 ",19%," 27,979 ",2%," 2,769 ",2%," 3,461 "
Lakes,SS04,Cueibet,,SS0402," 189,199 ",8%," 14,266 ",4%," 8,060 ",23%," 42,570 ",20%," 38,597 ",18%," 33,488 ",17%," 31,407 ",5%," 9,422 ",6%," 11,390 "
Lakes,SS04,Rumbek Centre,,SS0403," 222,497 ",8%," 18,045 ",6%," 12,393 ",22%," 49,172 ",23%," 50,284 ",20%," 43,609 ",19%," 42,942 ",1%," 2,292 ",2%," 3,760 "
Lakes,SS04,Rumbek East,,SS0404," 180,970 ",9%," 16,794 ",8%," 14,152 ",18%," 33,099 ",20%," 36,918 ",20%," 36,013 ",20%," 36,194 ",2%," 2,859 ",3%," 4,940 "
Lakes,SS04,Rumbek North,,SS0405," 75,047 ",10%," 7,167 ",10%," 7,325 ",20%," 15,234 ",22%," 16,210 ",15%," 11,332 ",17%," 12,758 ",3%," 2,379 ",4%," 2,642 "
Lakes,SS04,Wulu,,SS0406," 92,247 ",8%," 7,426 ",7%," 6,513 ",22%," 20,018 ",18%," 16,973 ",20%," 18,265 ",19%," 17,342 ",3%," 2,601 ",3%," 3,109 "
Lakes,SS04,Yirol East,,SS0407," 165,810 ",11%," 17,908 ",10%," 15,918 ",16%," 26,364 ",17%," 28,354 ",20%," 33,660 ",20%," 32,499 ",3%," 4,245 ",4%," 6,865 "
Lakes,SS04,Yirol West,,SS0408," 181,325 ",9%," 16,174 ",8%," 14,143 ",17%," 30,281 ",21%," 37,172 ",21%," 38,078 ",17%," 31,188 ",3%," 5,585 ",5%," 8,704 "
Northern Bahr el Ghazal,SS05,Aweil Centre,,SS0501," 78,958 ",18%," 13,976 ",14%," 10,975 ",14%," 11,109 ",13%," 10,501 ",15%," 11,765 ",17%," 13,344 ",4%," 2,929 ",6%," 4,359 "
Northern Bahr el Ghazal,SS05,Aweil East,,SS0502," 395,769 ",9%," 33,799 ",9%," 36,965 ",20%," 80,262 ",21%," 84,299 ",16%," 61,740 ",18%," 71,238 ",3%," 10,686 ",4%," 16,781 "
Northern Bahr el Ghazal,SS05,Aweil North,,SS0503," 185,929 ",8%," 14,800 ",7%," 12,606 ",20%," 37,595 ",24%," 43,879 ",15%," 28,633 ",19%," 34,955 ",4%," 6,824 ",4%," 6,638 "
Northern Bahr el Ghazal,SS05,Aweil South,,SS0504," 151,604 ",11%," 16,676 ",9%," 13,129 ",16%," 24,029 ",19%," 28,653 ",19%," 29,411 ",23%," 34,869 ",2%," 2,380 ",2%," 2,456 "
Northern Bahr el Ghazal,SS05,Aweil West,,SS0505," 223,173 ",10%," 22,764 ",12%," 25,888 ",19%," 42,626 ",19%," 43,072 ",17%," 38,832 ",18%," 40,171 ",2%," 4,865 ",2%," 4,954 "
Unity,SS06,Abiemnhom,,SS0601," 60,349 ",10%," 5,993 ",9%," 5,142 ",18%," 11,056 ",16%," 9,656 ",20%," 12,010 ",23%," 14,061 ",2%," 1,098 ",2%," 1,334 "
Unity,SS06,Guit,,SS0602," 73,878 ",12%," 8,644 ",10%," 7,454 ",19%," 13,749 ",19%," 13,889 ",14%," 10,269 ",17%," 12,190 ",5%," 3,406 ",6%," 4,278 "
Unity,SS06,Koch,,SS0603," 115,158 ",9%," 10,019 ",7%," 8,245 ",17%," 19,738 ",20%," 23,262 ",16%," 18,886 ",18%," 20,498 ",3%," 3,743 ",9%," 10,767 "
Unity,SS06,Leer,,SS0604," 86,784 ",9%," 7,941 ",8%," 7,290 ",17%," 14,493 ",18%," 15,795 ",20%," 17,096 ",23%," 19,613 ",1%," 1,076 ",4%," 3,480 "
Unity,SS06,Mayendit,,SS0605," 74,335 ",10%," 7,106 ",8%," 5,902 ",20%," 15,001 ",18%," 13,083 ",18%," 13,157 ",18%," 13,157 ",3%," 2,394 ",6%," 4,534 "
