Name,Type,State,County,Latitude,Longitude
Aliet Primary School,PRI,Lakes,Rumbek North,7.678625,29.6419
Alueth Primary School,PRI,Northern Bahr el Ghazal,Aweil South,8.782755667,27.88064967
Lata Primary School,PRI,Central Equatoria,Yei River,3.898617,30.57925
LIetnham Primary School,PRI,Warrap,Gogrial East,8.572667,28.382334
Lotimor Primary School,PRI,Eastern Equatoria,Kapoeta East,4.510315667,34.08712873
Latkagoy Primary School,PRI,Unity,Koch,8.72018325,29.84255425
Lotome Primary School,PRI,Eastern Equatoria,Ikotos,3.9774,33.451
Lotuhoyaha Primary School,PRI,Eastern Equatoria,Ikotos,4.288104125,33.13794413
Lietnhom,PRI,Northern Bahr el Ghazal,Aweil South,8.8968332,27.8366772
Litoba Primary School,PRI,Central Equatoria,Kajo-Keji,3.736867,31.680717
Loturumo Primary School,PRI,Eastern Equatoria,Lafon,4.795633,32.6315
Loturukana Primary School,PRI,Eastern Equatoria,Budi,4.384568525,32.86773956
Lutheran Primary School,PRI,Western Equatoria,Yambio,4.5936,28.4634
Lutule Primary School,PRI,Western Equatoria,Maridi,5.020025167,29.789614
Aluak-Luak Primary School,PRI,Lakes,Yirol West,6.475033,30.104334
Luenh Abur Primary,PRI,Northern Bahr el Ghazal,Aweil West,8.6402566,27.2525764
Lunjini Girls academy,PRI,Western Equatoria,Mundri East,5.331933,30.457916
Lual-ngem,PRI,Lakes,Yirol West,6.323033,30.158016
Luka Aguot Primary,PRI,Northern Bahr el Ghazal,Aweil South,8.72693,27.858101
Imuluha Primary School,PRI,Eastern Equatoria,Lafon,4.5930666,32.8766598
Lucia Didi Primary School,PRI,Central Equatoria,Juba,4.853290368,31.55675447
Lumaro Primary School,PRI,Central Equatoria,Yei River,3.899891643,30.74123586
Luony aker Primary School,PRI,Warrap,Gogrial East,8.22905,28.391216
Malualcum Primary School II Primary School,PRI,Lakes,Cueibet,9.7624,31.953617
Malou Primary School,PRI,Northern Bahr el Ghazal,Aweil West,8.6402566,27.2525764
Luri Rokwe Primary School,PRI,Central Equatoria,Juba,4.9349,30.587566
Lunjini Primary School,PRI,Western Equatoria,Mundri East,5.369883,30.599417
Lutheran Primary School,PRI,Western Equatoria,Maridi,4.993398333,29.41142376
Alusi Primary School,PRI,Central Equatoria,Kajo-Keji,3.76005,31.628599
Mulutu Primary School,PRI,Western Equatoria,Mvolo,6.84118,30.757959
Lujulo West Primary School,PRI,Central Equatoria,Morobo,3.706216667,30.71054278
Lovirang Primary,PRI,Eastern Equatoria,Lafon,4.815791261,32.62831235
Lawaci Primary School,PRI,Eastern Equatoria,Magwi,3.77148696,32.1434993
Liwolo Secondary School,SEC,Central Equatoria,Kajo-Keji,3.794511111,31.42241667
Loka west Primary School,PRI,Central Equatoria,Lainya,4.256033,31.000267
Lokwamor Primary School,PRI,Eastern Equatoria,Kapoeta North,4.864917,33.492851
Lokweni Primary School,PRI,Central Equatoria,Terekeka,5.464675,31.74193275
Liwolo Model Primary School,PRI,Central Equatoria,Kajo-Keji,3.792333,31.42795
Liawut Primary School,PRI,Jonglei,Nyirol (Diror),8.5114,32.073799
Lowoyakrli Primary,PRI,Eastern Equatoria,Kapoeta East,4.49973,34.08289
Panyang Primary School,PRI,Unity,Abiemnom,9.39251,27.823367
St. Thomas Nursery and Primary School,PRI,Central Equatoria,Juba,4.9349,30.587566
Alanya Primary School,PRI,Warrap,Twic,9.1354,28.188801
Leyo Primary School,PRI,Central Equatoria,Kajo-Keji,3.797831807,31.34565338
Lol-Nyang Primary School,PRI,Northern Bahr el Ghazal,Aweil East,9.070603667,27.45598689
