Admin1,Admin2,Admin2_Pcode,Age_Group,Population_Count
Eastern Equatoria,Lafon,SS0206,Female_Under_5,22108.550091076024
Eastern Equatoria,Magwi,SS0207,Female_Under_5,28835.168768475207
Eastern Equatoria,Torit,SS0208,Female_Under_5,7703.712890759977
Jonglei,Akobo,SS0301,Female_Under_5,18233.995829795123
Jonglei,Ayod,SS0302,Female_Under_5,19789.218876012896
Jonglei,Bor South,SS0303,Female_Under_5,32065.88646775308
Jonglei,Canal/Pigi,SS0304,Female_Under_5,7154.402171510939
Jonglei,Duk,SS0305,Female_Under_5,19787.05337725644
Jonglei,Fangak,SS0306,Female_Under_5,23646.23051403687
Jonglei,Nyirol,SS0307,Female_Under_5,11727.057554184656
Jonglei,Pibor,SS0308,Female_Under_5,27804.943813140788
Jonglei,Pochalla,SS0309,Female_Under_5,8520.982389927267
Jonglei,Twic East,SS0310,Female_Under_5,10827.15998317782
Jonglei,Uror,SS0311,Female_Under_5,26521.683773205503
Lakes,Awerial,SS0401,Female_Under_5,8797.60929425251
Lakes,Cueibet,SS0402,Female_Under_5,8059.868700410693
Lakes,Rumbek Centre,SS0403,Female_Under_5,12393.088613675416
Lakes,Rumbek East,SS0404,Female_Under_5,14151.85737143517
Lakes,Rumbek North,SS0405,Female_Under_5,7324.563482000341
Lakes,Wulu,SS0406,Female_Under_5,6512.613917023907
Lakes,Yirol East,SS0407,Female_Under_5,15917.807388612604
Lakes,Yirol West,SS0408,Female_Under_5,14143.3454636124
Northern Bahr el Ghazal,Aweil Centre,SS0501,Female_Under_5,10975.22093587416
Northern Bahr el Ghazal,Aweil East,SS0502,Female_Under_5,36964.843548901095
Northern Bahr el Ghazal,Aweil North,SS0503,Female_Under_5,12606.018411454552
Northern Bahr el Ghazal,Aweil South,SS0504,Female_Under_5,13128.906216465664
Northern Bahr el Ghazal,Aweil West,SS0505,Female_Under_5,25888.050614073727
Unity,Abiemnhom,SS0601,Female_Under_5,5141.768254237521
Unity,Guit,SS0602,Female_Under_5,7454.337300815199
Unity,Koch,SS0603,Female_Under_5,8245.307211599404
Unity,Leer,SS0604,Female_Under_5,7289.859911746555
Unity,Mayendit,SS0605,Female_Under_5,5902.225196089433
Unity,Mayom,SS0606,Female_Under_5,15816.357550634802
Unity,Panyijiar,SS0607,Female_Under_5,12535.531603198351
Unity,Pariang,SS0608,Female_Under_5,13851.0132087349
Unity,Rubkona,SS0609,Female_Under_5,35890.746614444695
