Date,Country,Country ISO,Admin 1,Location of event,Reported Perpetrator,Reported Perpetrator Name,Weapon Carried/Used,Type of education facility,Attacks on Schools,Attacks on Universities,Military Occupation of Education facility,Arson attack on education facility,Forced Entry into education facility,Damage/Destruction To Ed facility Event,Attacks on Students and Teachers,Educators Killed,Educators Injured,Educators Kidnapped,Educators Arrested,Known Educators Kidnap Or Arrest Outcome,Students Attacked in School,Students Killed,Students Injured,Students Kidnapped,Known Student Kidnap Or Arrest Outcome,Students Arrested,Sexual Violence Affecting School Age Children,SiND Event ID,Date Event Entered,Date Event Modified
2022-07-01,South Sudan,SSD,Greater Pibor Administrative Area,Education Building,No Information,No Information,Arson,Primary School,1,0,0,1,0,1,FALSE,0,0,0,0,,0,0,0,0,,0,0,63988,2024-08-10,2026-03-10
2022-06-20,South Sudan,SSD,Lakes,Other,Government: Military,South Sudan People's Defence Force,Firearms,Not Applicable,0,0,0,0,0,0,FALSE,0,0,0,40,"Freed, NoInformation",0,0,0,0,,0,0,34636,2022-10-01,2026-03-10
2022-06-15,South Sudan,SSD,Central Equatoria,Education Building,Government: Military,South Sudan People's Defence Force,Firearms,Primary School,1,0,0,0,0,1,FALSE,0,0,0,0,,0,0,0,0,,0,0,63922,2024-08-10,2026-03-10
2022-06-01,South Sudan,SSD,Greater Pibor Administrative Area,Education Building,NSA,Unidentified Armed Actor,No Information on the Weapon Used,Primary School,1,0,1,0,0,1,FALSE,0,0,0,0,,0,0,0,0,,0,0,63731,2024-08-09,2026-03-10
2022-03-31,South Sudan,SSD,Warrap,Education Building,NSA,Unidentified Armed Actor,Arson,School: No Further Details,1,0,0,1,0,1,FALSE,0,0,0,0,,0,0,0,0,,0,0,33079,2022-07-02,2025-01-10
2022-03-29,South Sudan,SSD,No Information,Education Building,Donor Government,Government of Sudan,Not Applicable: No Direct Violence,Not Applicable,0,0,0,0,0,0,FALSE,0,0,0,0,,0,0,0,0,,0,0,33106,2022-07-03,2024-11-24
2022-03-03,South Sudan,SSD,Jonglei,Education Building,Police,South Sudan National Police Service,Firearms,Not Applicable,0,0,0,0,0,0,FALSE,0,0,0,0,,0,0,0,0,NoInformation,3,0,33082,2022-07-02,2025-01-10
2022-03-01,South Sudan,SSD,Jonglei,Education Building,Police,South Sudan National Police Service,No Information on the Weapon Used,University,0,0,0,0,0,0,TRUE,0,0,0,0,,0,0,0,0,NoInformation,3,0,63727,2024-08-09,2026-03-10
2022-02-09,South Sudan,SSD,Jonglei,Unspecified Location,Police,South Sudan National Police Service,Firearms,Not Applicable,0,0,0,0,0,0,FALSE,0,0,0,1,NoInformation,0,0,0,0,,0,0,63738,2024-08-09,2026-03-10
2022-02-09,South Sudan,SSD,Jonglei,Unspecified Location,Police,South Sudan National Police Service,Fist and Foot,Not Applicable,0,0,0,0,0,0,FALSE,0,1,0,0,,0,0,0,0,,0,0,63823,2024-08-10,2026-03-10
2021-09-20,South Sudan,SSD,Western Equatoria,Education Building,NSA,Unidentified Armed Actor,Firearms,School: No Further Details,1,0,0,0,1,0,FALSE,0,0,0,0,,0,0,0,0,,0,0,125536,2026-03-02,2026-03-08
2021-06-20,South Sudan,SSD,Eastern Equatoria,Education Building,NSA,Unidentified Armed Actor,Firearms,School: No Further Details,1,0,0,0,1,0,TRUE,0,0,0,0,,1,0,0,0,,0,0,28582,2021-08-09,2024-11-24
2021-06-15,South Sudan,SSD,Great Pibor Administrative Area,On Way To or From School,NSA,Unidentified Armed Actor,Firearms,Not Applicable,0,0,0,0,0,0,FALSE,0,1,0,0,,0,0,0,0,,0,0,28371,2021-07-23,2025-01-10
2021-02-02,South Sudan,SSD,Upper Nile,Education Building,NSA,Unidentified Armed Actor,Firearms,Secondary School,1,0,0,0,1,0,FALSE,0,0,0,0,,0,0,0,0,,0,0,27155,2021-04-27,2025-01-28
2020-12-31,South Sudan,SSD,Central Equatoria,Education Building,No Information,No Information,Firearms,School: No Further Details,1,0,0,0,1,0,FALSE,0,0,0,0,,0,0,0,0,,0,0,26611,2021-03-02,2025-01-10
2020-11-25,South Sudan,SSD,Central Equatoria,Unspecified Location,No Information,No Information,Firearms,Not Applicable,0,0,0,0,0,0,FALSE,1,0,0,0,,0,0,0,0,,0,0,26216,2021-01-21,2025-01-10
2020-11-24,South Sudan,SSD,Greater Pibor Administrative Area,Education Building,NSA,Unidentified Armed Actor,Firearms,Not Applicable,0,0,0,0,0,0,FALSE,0,0,0,0,,0,1,1,0,,0,0,26303,2021-02-05,2024-11-24
2020-09-18,South Sudan,SSD,Jonglei,Education Building,Employee,Employee,Firearms,Not Applicable,0,0,0,0,0,0,FALSE,0,0,0,0,,0,0,0,0,,0,0,25741,2020-10-27,2026-03-10
2020-06-20,South Sudan,SSD,Central Equatoria,Education Building,NSA,Unidentified Armed Actor,Firearms,University,0,1,0,0,1,0,FALSE,0,0,0,0,,0,0,0,0,,0,0,25044,2020-08-21,2024-11-24
2020-01-27,South Sudan,SSD,Central Equatoria,Unspecified Location,NSA,Unidentified Armed Actor,Firearms,Not Applicable,0,0,0,0,0,0,FALSE,0,0,1,0,NoInformation,0,0,0,0,,0,0,25074,2020-08-26,2025-01-10
2020-01-12,South Sudan,SSD,Central Equatoria,On Way To or From School,NSA,Unidentified Armed Actor,Firearms,Not Applicable,0,0,0,0,0,0,FALSE,1,0,0,0,,0,0,0,0,,0,0,24820,2020-07-23,2025-01-10
2018-02-26,South Sudan,SSD,Lakes,Education Building,Government: Military,Sudan People's Liberation Army,Arson,School: No Further Details,1,0,0,1,0,1,TRUE,0,0,0,0,,13,0,0,0,,0,0,22025,2018-05-23,2026-02-12
