Admin1,Admin1_Pcode,Admin2,Admin2_Alternate_Name,Admin2_Pcode,Population - 2025,"% Male children
 under 5","No. of Male
children under 5","% Female
children under 5","No. of Female
children under 5","% Male children 
aged 5 - 17 years","No. of Male children 
aged 5 - 17 years","% Female children 
aged 5 - 17 years","No. of Female 
children aged 5 - 17 years","% Male adults 
aged 18 - 60","No. of  Male 
adults aged 18 - 60","% Female adults 
aged 18 - 60","No. of Female 
adults aged 18 - 60","% Male adults 
aged over 60","No. of Male adults 
aged over 60","% Female adults 
aged over 60","No. Female adults 
aged over 60"
Jonglei,SS03,Nyirol,,SS0307,153294.86998934194,0.09,13796.538299040774,0.0765,11727.057554184657,0.21799999999999997,33418.28165767654,0.1914,29340.638115960046,0.15999999999999998,24527.179198294707,0.186,28512.845818017602,0.028000000000000004,4292.256359701575,0.0501,7680.072986466031
Jonglei,SS03,Pibor,,SS0308,237649.09242000672,0.137,32557.925661540925,0.117,27804.943813140788,0.13799999999999998,32795.57475396092,0.155,36835.60932510104,0.1717,40804.34916851515,0.196,46579.22211432132,0.031100000000000003,7390.88677426221,0.0542,12880.580809164365
Jonglei,SS03,Pochalla,,SS0309,82567.65881712468,0.136,11229.201599128957,0.1032,8520.982389927267,0.195,16100.693469339314,0.174,14366.772634179693,0.10499999999999998,8669.604175798091,0.272,22458.403198257914,0.006440000000000001,531.7357227822831,0.00836,690.2656277111623
Jonglei,SS03,Twic East,,SS0310,129822.0621484151,0.0737,9567.885980338193,0.0834,10827.15998317782,0.15200000000000002,19732.9534465591,0.173,22459.216751675813,0.18,23367.97118671472,0.256,33234.44790999427,0.0412,5348.668960514702,0.0407,5283.757929440495
Jonglei,SS04,Uror,,SS0311,205594.44785430626,0.1436,29523.36271187838,0.129,26521.683773205506,0.14400000000000002,29605.600491020105,0.178,36595.811718066514,0.183,37623.78395733805,0.193,39679.72843588111,0.0126,2590.490042964259,0.0168,3453.986723952345
Lakes,SS04,Awerial,,SS0401,144223.10318446739,0.0634,9143.744741895232,0.061,8797.60929425251,0.227,32738.6444228741,0.234,33748.20614516537,0.1774,25585.178504924515,0.194,27979.282017786674,0.019200000000000002,2769.083581141774,0.024,3461.3544764272174
Lakes,SS04,Cueibet,,SS0402,189198.79578428858,0.0754,14265.589202135357,0.0426,8059.868700410693,0.225,42569.72905146493,0.204,38596.554339994866,0.17700000000000002,33488.18685381908,0.166,31407.000100191904,0.049800000000000004,9422.100030057572,0.0602,11389.767506214172
Lakes,SS04,Rumbek Centre,,SS0403,222497.10257945093,0.0811,18044.515019193474,0.0557,12393.088613675416,0.221,49171.85967005866,0.226,50284.34518295591,0.196,43609.432105572385,0.193,42941.94079783403,0.0103,2291.7201565683445,0.0169,3760.2010335927203
Lakes,SS04,Rumbek East,,SS0404,180970.0431129817,0.0928,16794.0200008847,0.0782,14151.85737143517,0.1829,33099.42088536435,0.204,36917.88879504826,0.199,36013.03857948336,0.2,36194.00862259634,0.015799999999999998,2859.3266811851104,0.0273,4940.4821769844
Lakes,SS04,Rumbek North,,SS0405,75046.75698770842,0.0955,7166.965292326154,0.0976,7324.5634820003415,0.20299999999999999,15234.491668504808,0.216,16210.099509345018,0.151,11332.06030514397,0.17,12757.948687910432,0.0317,2378.982196510357,0.0352,2641.6458459673363
