school_name,name_capital letter,"name_en,C,80",school_type1,school_type2,school_type3,school_type4,school_type5,"building,C,80","operator_t,C,80",operator_type,"capacity_p,C,80","addr_full,C,80","addr_city,C,80","source,C,80","osm_id,N,18,0","osm_type,C,80"
Goopi Primary School,Goopi Primary School,,0,Primary School,0,0,0,,,0,,,,,5484112523,nodes
GRA,Gra,,0,0,0,0,Other or Unknown,,,0,,,,,5414591822,nodes
Gulu one primary school,Gulu One Primary School,,0,Primary School,0,0,0,,,0,,,Celecelea West,www.ubos.org,4011863911,nodes
Halbul primary school,Halbul Primary School,,0,Primary School,0,0,0,,,0,,,Toloro,www.ubos.org,4011863948,nodes
Hia Baraka nursery and primary school,Hia Baraka Nursery And Primary School,,Nursery School,Primary School,0,0,0,,,0,,,Pakaruhwe,www.ubos.org,4011877435,nodes
Home Dave Primary School,Home Dave Primary School,,0,Primary School,0,0,0,,public,Public,,,Swinga,www.ubos.org,4011769445,nodes
House of Hope,House Of Hope,,0,Primary School,0,0,0,,,0,,,,,5411478921,nodes
Imotong Life Skills Centre,Imotong Life Skills Centre,,0,0,0,0,Other or Unknown,,,0,,,,,9311393017,nodes
Janga primary school,Janga Primary School,,0,Primary School,0,0,0,,private,Private,,,Simba,www.ubos.org,4025358128,nodes
Jebel church,Jebel Church,,0,0,0,0,Other or Unknown,,,0,,,Paanjara,www.ubos.org,4011877445,nodes
Kagoropa Primary School,Kagoropa Primary School,,0,Primary School,0,0,0,,public,Public,,,Lamwoka B,www.ubos.org,4025358123,nodes
